2026-03-14T21:27:57 CONNECT_OK peer=('127.0.0.1', 60710) target=ogs.google.com:443
2026-03-14T21:27:57 CONNECT_OK peer=('127.0.0.1', 60709) target=accounts.google.com:443
2026-03-14T21:27:58 CONNECT_OK peer=('127.0.0.1', 60703) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:27:58 CONNECT_OK peer=('127.0.0.1', 60715) target=cs.avito.ru:443
2026-03-14T21:27:58 CONNECT_OK peer=('127.0.0.1', 60717) target=stats.avito.ru:443
2026-03-14T21:27:58 CONNECT_OK peer=('127.0.0.1', 60719) target=yandex.com:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60727) target=rr4---sn-q4flrnld.googlevideo.com:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60725) target=fonts.gstatic.com:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60728) target=rr4---sn-q4flrnld.googlevideo.com:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60721) target=cs.avito.ru:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60723) target=cdn.uxfeedback.ru:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60731) target=www.gstatic.com:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60732) target=ssl.gstatic.com:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60744) target=yastatic.net:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60735) target=www.avito.ru:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60742) target=www.google-analytics.com:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60736) target=www.avito.st:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60741) target=www.avito.st:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60737) target=cdn.uxfeedback.ru:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60747) target=www.gstatic.com:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60749) target=sntr.avito.ru:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60763) target=www.perplexity.ai:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60753) target=yastatic.net:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60751) target=stats.avito.ru:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60754) target=avatars.mds.yandex.net:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60755) target=mc.yandex.ru:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60757) target=ads.adfox.ru:443
2026-03-14T21:27:59 CONNECT_OK peer=('127.0.0.1', 60761) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60767) target=cdn.uxfeedback.ru:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60765) target=maps-yandex-ru.naydex.net:443
2026-03-14T21:28:00 CONNECT_OK peer=('127.0.0.1', 60769) target=rr4---sn-q4flrnld.googlevideo.com:443
